crop,N_min,N_max,P_min,P_max,K_min,K_max,ph_min,ph_max,temperature_min,temperature_max,humidity_min,humidity_max,rainfall_min,rainfall_max,samples
apple,2.0,37.0,121.0,144.0,195.0,205.0,5.56,6.4,21.2,23.8,90.2,94.7,102.2,123.6,100
banana,82.0,117.0,71.0,94.0,45.0,55.0,5.57,6.44,25.1,29.4,76.1,84.5,90.8,119.0,100
blackgram,21.0,58.0,57.0,79.0,15.0,25.0,6.54,7.71,25.7,34.1,60.4,69.1,61.7,74.2,100
chickpea,22.0,59.0,56.0,79.0,75.0,85.0,6.18,8.74,17.2,20.7,14.4,19.7,68.5,93.4,100
coconut,1.0,39.0,6.0,30.0,26.0,35.0,5.55,6.42,25.1,29.5,91.0,99.6,134.0,224.3,100
coffee,82.0,118.0,17.0,40.0,25.0,35.0,6.08,7.46,23.2,27.6,51.1,68.5,120.6,194.9,100
cotton,101.0,136.0,36.0,60.0,15.0,25.0,6.0,7.95,22.1,25.7,75.6,84.6,62.6,97.8,100
grapes,4.0,39.0,120.0,144.0,195.0,205.0,5.56,6.48,9.9,40.7,80.1,83.7,65.5,74.4,100
jute,61.0,96.1,37.0,58.0,35.0,45.0,6.07,7.38,23.2,26.8,71.3,88.4,151.9,196.7,100
kidneybeans,3.0,37.0,56.0,80.0,15.0,25.0,5.52,5.97,15.8,24.3,18.3,24.9,63.3,143.9,100
lentil,2.0,38.0,57.0,79.0,15.0,24.0,6.06,7.73,18.4,29.2,60.5,69.4,36.1,53.3,100
maize,61.0,99.0,35.0,60.0,15.0,25.0,5.59,6.87,18.3,26.0,56.5,73.6,63.0,108.5,100
mango,1.0,39.0,16.0,38.0,25.0,35.0,4.67,6.82,27.4,35.5,45.6,54.4,90.0,100.2,100
mothbeans,3.0,39.0,36.0,59.0,15.0,25.0,3.69,9.41,24.5,31.2,41.8,63.1,32.7,72.2,100
mungbean,2.0,37.0,36.0,59.0,15.0,25.0,6.27,7.17,27.1,29.9,80.4,89.7,37.2,58.5,100
muskmelon,82.0,118.0,6.0,28.0,45.0,55.0,6.04,6.74,27.1,29.9,90.3,94.8,20.8,29.0,100
orange,1.0,39.0,6.0,29.0,5.0,15.0,6.12,7.86,11.0,34.1,90.2,94.6,101.1,119.0,100
papaya,32.0,69.0,47.0,68.0,45.0,55.0,6.52,6.99,23.7,42.9,90.2,94.6,51.0,240.5,100
pigeonpeas,3.0,39.0,56.0,77.0,16.0,25.0,4.67,7.17,19.0,36.2,32.5,66.7,94.4,195.6,100
pomegranate,2.0,40.0,6.0,29.0,36.0,45.0,5.68,7.13,18.4,24.8,85.6,94.6,102.9,112.0,100
rice,60.0,98.0,35.0,59.0,35.0,45.0,5.11,7.63,20.3,26.7,80.3,84.6,185.2,290.7,100
watermelon,81.0,119.0,6.0,29.0,45.0,55.0,6.07,6.93,24.3,26.8,80.5,89.6,41.1,59.0,100
